"filename", "language", "JavaScript", "CSS", "XML", "vue", "JSON", "HTML", "Markdown", "JSON with Comments", "Python", "pip requirements", "Ini", "comment", "blank", "total"
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -105, 0, 0, -18, -26, -149
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/completion_tasks.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -185, 0, 0, -6, -40, -231
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/database/db_handlers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -501, 0, 0, -25, -118, -644
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/database/document_handlers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, -5, -12, -54
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/database/library_handlers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -498, 0, 0, -55, -121, -674
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/database/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -180, 0, 0, -3, -45, -228
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/database/upgrade_db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -46, 0, 0, -1, -14, -61
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/database/user_handler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, -51, -24, -165
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/email_provider/email_templates.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -80, 0, 0, -2, -7, -89
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/email_provider/resend_api.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -1, -4, -19
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/functions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -329, 0, 0, -132, -22, -483
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/images/library_imager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -22, -11, -66
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/SystemPrompts/prompt_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -100, 0, 0, 0, -27, -127
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/explore.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -2, -3, -39
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/graph_calc.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -75, 0, 0, -17, -26, -118
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/library_generator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -89, 0, 0, -6, -17, -112
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/math_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -6, -23
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/message_handler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -94, 0, 0, -1, -21, -116
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrate_db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -2, -5, -17
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, -13, -51
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -66, 0, 0, -17, -31, -114
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/036b751c460b_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -5, -10, -39
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/21f775927f5b_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -5, -11, -35
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/250462cadd46_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -5, -11, -33
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/54a3f0868831_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, -5, -13, -41
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/63fb22cbe5ef_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -5, -11, -33
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/677b09341aea_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, -5, -8, -53
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/6962e9d76135_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, -5, -10, -52
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/6f6d3dea7f24_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -25, -20, -80
